section,department,agency,subagency_name,subagency_acronym,acronyms_mentioned,agencies_mentioned,racialized_terms,text
DEPARTMENT OF EDUCATION,DEPARTMENT OF EDUCATION,ED,DEPARTMENT OF EDUCATION,ED,NULL,NULL,"c(""racial"", ""discrimination"", ""civil rights"", ""bureau of indian"")","* Federal officials should protect educators and students in jurisdictions under federal control from racial discrimination by reinforcing the Civil Rights Act of 1964 and prohibiting compelled speech. Specifically, no teacher or student in Washington, D.C., public schools, Bureau of Indian Education schools, or Department of Defense schools should be compelled to believe, profess, or adhere to any idea, but especially ideas that violate state and federal civil rights laws."
DEPARTMENT OF EDUCATION,DEPARTMENT OF EDUCATION,ED,DEPARTMENT OF EDUCATION,ED,NULL,NULL,"c(""race"", ""racism"")","By its very design, critical race theory has an “applied” dimension, as its founders state in their essays that define the theory. Those who subscribe to the theory believe that racism (in this case, treating individuals differently based on race) is appropriate—necessary, even—making the theory more than merely an analytical tool to describe race in public and private life. The theory disrupts America’s Founding ideals of freedom and opportunity. So, when critical race theory is used as part of school activities such as mandatory affinity groups, teacher training programs in which educators are required to confess their privilege, or school"
DEPARTMENT OF EDUCATION,DEPARTMENT OF EDUCATION,ED,DEPARTMENT OF EDUCATION,ED,NULL,NULL,"c(""race"", ""racism"")","By its very design, critical race theory has an “applied” dimension, as its founders state in their essays that define the theory. Those who subscribe to the theory believe that racism (in this case, treating individuals differently based on race) is appropriate—necessary, even—making the theory more than merely an analytical tool to describe race in public and private life. The theory disrupts America’s Founding ideals of freedom and opportunity. So, when critical race theory is used as part of school activities such as mandatory affinity groups, teacher training programs in which educators are required to confess their privilege, or school"
DEPARTMENT OF EDUCATION,DEPARTMENT OF EDUCATION,ED,DEPARTMENT OF EDUCATION,ED,NULL,NULL,"c(""race"", ""racism"")","By its very design, critical race theory has an “applied” dimension, as its founders state in their essays that define the theory. Those who subscribe to the theory believe that racism (in this case, treating individuals differently based on race) is appropriate—necessary, even—making the theory more than merely an analytical tool to describe race in public and private life. The theory disrupts America’s Founding ideals of freedom and opportunity. So, when critical race theory is used as part of school activities such as mandatory affinity groups, teacher training programs in which educators are required to confess their privilege, or school"
DEPARTMENT OF EDUCATION,DEPARTMENT OF EDUCATION,ED,DEPARTMENT OF EDUCATION,ED,NULL,NULL,"c(""race"", ""racism"")","By its very design, critical race theory has an “applied” dimension, as its founders state in their essays that define the theory. Those who subscribe to the theory believe that racism (in this case, treating individuals differently based on race) is appropriate—necessary, even—making the theory more than merely an analytical tool to describe race in public and private life. The theory disrupts America’s Founding ideals of freedom and opportunity. So, when critical race theory is used as part of school activities such as mandatory affinity groups, teacher training programs in which educators are required to confess their privilege, or school"
DEPARTMENT OF EDUCATION,DEPARTMENT OF EDUCATION,ED,DEPARTMENT OF EDUCATION,ED,NULL,NULL,"c(""race"", ""racism"")","By its very design, critical race theory has an “applied” dimension, as its founders state in their essays that define the theory. Those who subscribe to the theory believe that racism (in this case, treating individuals differently based on race) is appropriate—necessary, even—making the theory more than merely an analytical tool to describe race in public and private life. The theory disrupts America’s Founding ideals of freedom and opportunity. So, when critical race theory is used as part of school activities such as mandatory affinity groups, teacher training programs in which educators are required to confess their privilege, or school"
DEPARTMENT OF EDUCATION,DEPARTMENT OF EDUCATION,ED,DEPARTMENT OF EDUCATION,ED,NULL,NULL,"c(""race"", ""racism"")","By its very design, critical race theory has an “applied” dimension, as its founders state in their essays that define the theory. Those who subscribe to the theory believe that racism (in this case, treating individuals differently based on race) is appropriate—necessary, even—making the theory more than merely an analytical tool to describe race in public and private life. The theory disrupts America’s Founding ideals of freedom and opportunity. So, when critical race theory is used as part of school activities such as mandatory affinity groups, teacher training programs in which educators are required to confess their privilege, or school"
DEPARTMENT OF EDUCATION,DEPARTMENT OF EDUCATION,ED,DEPARTMENT OF EDUCATION,ED,NULL,NULL,"c(""racist"", ""equality"")","assignments in which students must defend the false idea that America is systemically racist, the theory is actively disrupting the values that hold communities together such as equality under the law and colorblindness."
DEPARTMENT OF EDUCATION,DEPARTMENT OF EDUCATION,ED,DEPARTMENT OF EDUCATION,ED,NULL,NULL,"c(""racist"", ""equality"")","assignments in which students must defend the false idea that America is systemically racist, the theory is actively disrupting the values that hold communities together such as equality under the law and colorblindness."
DEPARTMENT OF EDUCATION,DEPARTMENT OF EDUCATION,ED,DEPARTMENT OF EDUCATION,ED,NULL,NULL,"c(""racist"", ""equality"")","assignments in which students must defend the false idea that America is systemically racist, the theory is actively disrupting the values that hold communities together such as equality under the law and colorblindness."
DEPARTMENT OF EDUCATION,DEPARTMENT OF EDUCATION,ED,DEPARTMENT OF EDUCATION,ED,NULL,NULL,"c(""racist"", ""equality"")","assignments in which students must defend the false idea that America is systemically racist, the theory is actively disrupting the values that hold communities together such as equality under the law and colorblindness."
DEPARTMENT OF EDUCATION,DEPARTMENT OF EDUCATION,ED,DEPARTMENT OF EDUCATION,ED,NULL,NULL,"c(""racist"", ""equality"")","assignments in which students must defend the false idea that America is systemically racist, the theory is actively disrupting the values that hold communities together such as equality under the law and colorblindness."
DEPARTMENT OF EDUCATION,DEPARTMENT OF EDUCATION,ED,DEPARTMENT OF EDUCATION,ED,NULL,NULL,"c(""racist"", ""equality"")","assignments in which students must defend the false idea that America is systemically racist, the theory is actively disrupting the values that hold communities together such as equality under the law and colorblindness."
DEPARTMENT OF EDUCATION,DEPARTMENT OF EDUCATION,ED,DEPARTMENT OF EDUCATION,ED,NULL,NULL,"c(""race"", ""ethnicity"")","* Furthermore, school officials should not require students or teachers to believe that individuals are guilty or responsible for the actions of others based on race or ethnicity."
DEPARTMENT OF EDUCATION,DEPARTMENT OF EDUCATION,ED,DEPARTMENT OF EDUCATION,ED,NULL,NULL,"c(""race"", ""ethnicity"")","* Furthermore, school officials should not require students or teachers to believe that individuals are guilty or responsible for the actions of others based on race or ethnicity."
DEPARTMENT OF EDUCATION,DEPARTMENT OF EDUCATION,ED,DEPARTMENT OF EDUCATION,ED,NULL,NULL,"c(""race"", ""ethnicity"")","* Furthermore, school officials should not require students or teachers to believe that individuals are guilty or responsible for the actions of others based on race or ethnicity."
DEPARTMENT OF EDUCATION,DEPARTMENT OF EDUCATION,ED,DEPARTMENT OF EDUCATION,ED,NULL,NULL,"c(""race"", ""ethnicity"")","* Furthermore, school officials should not require students or teachers to believe that individuals are guilty or responsible for the actions of others based on race or ethnicity."
DEPARTMENT OF EDUCATION,DEPARTMENT OF EDUCATION,ED,DEPARTMENT OF EDUCATION,ED,NULL,NULL,"c(""race"", ""ethnicity"")","* Furthermore, school officials should not require students or teachers to believe that individuals are guilty or responsible for the actions of others based on race or ethnicity."
DEPARTMENT OF EDUCATION,DEPARTMENT OF EDUCATION,ED,DEPARTMENT OF EDUCATION,ED,NULL,NULL,"c(""race"", ""ethnicity"")","* Furthermore, school officials should not require students or teachers to believe that individuals are guilty or responsible for the actions of others based on race or ethnicity."
DEPARTMENT OF EDUCATION,DEPARTMENT OF EDUCATION,ED,DEPARTMENT OF EDUCATION,ED,NULL,NULL,race,"pronouns). The federal government could demand that schools include curriculum or lessons regarding critical race or gender theory in a way that violates parental rights, especially if it requires minors to disclose information about their religious beliefs, or beliefs about race or gender in violation of the Protection of Pupil Rights Amendment (20 USC Sec. 1232h)."
DEPARTMENT OF EDUCATION,DEPARTMENT OF EDUCATION,ED,DEPARTMENT OF EDUCATION,ED,NULL,NULL,race,"pronouns). The federal government could demand that schools include curriculum or lessons regarding critical race or gender theory in a way that violates parental rights, especially if it requires minors to disclose information about their religious beliefs, or beliefs about race or gender in violation of the Protection of Pupil Rights Amendment (20 USC Sec. 1232h)."
DEPARTMENT OF EDUCATION,DEPARTMENT OF EDUCATION,ED,DEPARTMENT OF EDUCATION,ED,NULL,NULL,race,"pronouns). The federal government could demand that schools include curriculum or lessons regarding critical race or gender theory in a way that violates parental rights, especially if it requires minors to disclose information about their religious beliefs, or beliefs about race or gender in violation of the Protection of Pupil Rights Amendment (20 USC Sec. 1232h)."
DEPARTMENT OF EDUCATION,DEPARTMENT OF EDUCATION,ED,DEPARTMENT OF EDUCATION,ED,NULL,NULL,race,"pronouns). The federal government could demand that schools include curriculum or lessons regarding critical race or gender theory in a way that violates parental rights, especially if it requires minors to disclose information about their religious beliefs, or beliefs about race or gender in violation of the Protection of Pupil Rights Amendment (20 USC Sec. 1232h)."
DEPARTMENT OF EDUCATION,DEPARTMENT OF EDUCATION,ED,DEPARTMENT OF EDUCATION,ED,NULL,NULL,race,"pronouns). The federal government could demand that schools include curriculum or lessons regarding critical race or gender theory in a way that violates parental rights, especially if it requires minors to disclose information about their religious beliefs, or beliefs about race or gender in violation of the Protection of Pupil Rights Amendment (20 USC Sec. 1232h)."
DEPARTMENT OF EDUCATION,DEPARTMENT OF EDUCATION,ED,DEPARTMENT OF EDUCATION,ED,NULL,NULL,race,"pronouns). The federal government could demand that schools include curriculum or lessons regarding critical race or gender theory in a way that violates parental rights, especially if it requires minors to disclose information about their religious beliefs, or beliefs about race or gender in violation of the Protection of Pupil Rights Amendment (20 USC Sec. 1232h)."
DEPARTMENT OF EDUCATION,DEPARTMENT OF EDUCATION,ED,DEPARTMENT OF EDUCATION,ED,NULL,NULL,"c(""race"", ""racial"", ""discrimination"")","Furthermore, research from the Claremont Institute used documents provided by a whistleblower demonstrating how educators at Department of Defense schools around the world are using radical gender theory and critical race theory in their lessons. This instructional material discards biology in favor of political indoctrination and applies critical race theory’s core tenets advocating for more racial discrimination. Such ideas are highly unpopular among parents, according to nationally representative surveys, and the course material attempts to indoctrinate students with radical ideas about race and the ambiguous concept of “gender.”"
DEPARTMENT OF EDUCATION,DEPARTMENT OF EDUCATION,ED,DEPARTMENT OF EDUCATION,ED,NULL,NULL,"c(""race"", ""racial"", ""discrimination"")","Furthermore, research from the Claremont Institute used documents provided by a whistleblower demonstrating how educators at Department of Defense schools around the world are using radical gender theory and critical race theory in their lessons. This instructional material discards biology in favor of political indoctrination and applies critical race theory’s core tenets advocating for more racial discrimination. Such ideas are highly unpopular among parents, according to nationally representative surveys, and the course material attempts to indoctrinate students with radical ideas about race and the ambiguous concept of “gender.”"
DEPARTMENT OF EDUCATION,DEPARTMENT OF EDUCATION,ED,DEPARTMENT OF EDUCATION,ED,NULL,NULL,"c(""race"", ""racial"", ""discrimination"")","Furthermore, research from the Claremont Institute used documents provided by a whistleblower demonstrating how educators at Department of Defense schools around the world are using radical gender theory and critical race theory in their lessons. This instructional material discards biology in favor of political indoctrination and applies critical race theory’s core tenets advocating for more racial discrimination. Such ideas are highly unpopular among parents, according to nationally representative surveys, and the course material attempts to indoctrinate students with radical ideas about race and the ambiguous concept of “gender.”"
DEPARTMENT OF EDUCATION,DEPARTMENT OF EDUCATION,ED,DEPARTMENT OF EDUCATION,ED,NULL,NULL,"c(""race"", ""racial"", ""discrimination"")","Furthermore, research from the Claremont Institute used documents provided by a whistleblower demonstrating how educators at Department of Defense schools around the world are using radical gender theory and critical race theory in their lessons. This instructional material discards biology in favor of political indoctrination and applies critical race theory’s core tenets advocating for more racial discrimination. Such ideas are highly unpopular among parents, according to nationally representative surveys, and the course material attempts to indoctrinate students with radical ideas about race and the ambiguous concept of “gender.”"
DEPARTMENT OF EDUCATION,DEPARTMENT OF EDUCATION,ED,DEPARTMENT OF EDUCATION,ED,NULL,NULL,"c(""race"", ""racial"", ""discrimination"")","Furthermore, research from the Claremont Institute used documents provided by a whistleblower demonstrating how educators at Department of Defense schools around the world are using radical gender theory and critical race theory in their lessons. This instructional material discards biology in favor of political indoctrination and applies critical race theory’s core tenets advocating for more racial discrimination. Such ideas are highly unpopular among parents, according to nationally representative surveys, and the course material attempts to indoctrinate students with radical ideas about race and the ambiguous concept of “gender.”"
DEPARTMENT OF EDUCATION,DEPARTMENT OF EDUCATION,ED,DEPARTMENT OF EDUCATION,ED,NULL,NULL,"c(""race"", ""racial"", ""discrimination"")","Furthermore, research from the Claremont Institute used documents provided by a whistleblower demonstrating how educators at Department of Defense schools around the world are using radical gender theory and critical race theory in their lessons. This instructional material discards biology in favor of political indoctrination and applies critical race theory’s core tenets advocating for more racial discrimination. Such ideas are highly unpopular among parents, according to nationally representative surveys, and the course material attempts to indoctrinate students with radical ideas about race and the ambiguous concept of “gender.”"
DEPARTMENT OF EDUCATION,DEPARTMENT OF EDUCATION,ED,DEPARTMENT OF EDUCATION,ED,BIE,NULL,"c(""bureau of indian"", ""native"")","Finally, schools on tribal lands and under the auspices of the Bureau of Indian Education (BIE) are among the worst-performing public schools in the country. Research from Rep. Burgess Owens’ office reports that the graduation rate for BIE students is 53 percent, lower than the average for Native American students in public schools around the country, and nearly 30 percentage points lower than the national average for all students. In 2015, Arizona lawmakers expanded the state’s education savings account program to include children living on tribal lands, and by 2021, nearly 400 Native American children were using the accounts."
DEPARTMENT OF EDUCATION,DEPARTMENT OF EDUCATION,ED,DEPARTMENT OF EDUCATION,ED,BIE,NULL,"c(""bureau of indian"", ""native"")","Finally, schools on tribal lands and under the auspices of the Bureau of Indian Education (BIE) are among the worst-performing public schools in the country. Research from Rep. Burgess Owens’ office reports that the graduation rate for BIE students is 53 percent, lower than the average for Native American students in public schools around the country, and nearly 30 percentage points lower than the national average for all students. In 2015, Arizona lawmakers expanded the state’s education savings account program to include children living on tribal lands, and by 2021, nearly 400 Native American children were using the accounts."
DEPARTMENT OF EDUCATION,DEPARTMENT OF EDUCATION,ED,DEPARTMENT OF EDUCATION,ED,BIE,NULL,"c(""bureau of indian"", ""native"")","Finally, schools on tribal lands and under the auspices of the Bureau of Indian Education (BIE) are among the worst-performing public schools in the country. Research from Rep. Burgess Owens’ office reports that the graduation rate for BIE students is 53 percent, lower than the average for Native American students in public schools around the country, and nearly 30 percentage points lower than the national average for all students. In 2015, Arizona lawmakers expanded the state’s education savings account program to include children living on tribal lands, and by 2021, nearly 400 Native American children were using the accounts."
DEPARTMENT OF EDUCATION,DEPARTMENT OF EDUCATION,ED,DEPARTMENT OF EDUCATION,ED,BIE,NULL,"c(""bureau of indian"", ""native"")","Finally, schools on tribal lands and under the auspices of the Bureau of Indian Education (BIE) are among the worst-performing public schools in the country. Research from Rep. Burgess Owens’ office reports that the graduation rate for BIE students is 53 percent, lower than the average for Native American students in public schools around the country, and nearly 30 percentage points lower than the national average for all students. In 2015, Arizona lawmakers expanded the state’s education savings account program to include children living on tribal lands, and by 2021, nearly 400 Native American children were using the accounts."
DEPARTMENT OF EDUCATION,DEPARTMENT OF EDUCATION,ED,DEPARTMENT OF EDUCATION,ED,BIE,NULL,"c(""bureau of indian"", ""native"")","Finally, schools on tribal lands and under the auspices of the Bureau of Indian Education (BIE) are among the worst-performing public schools in the country. Research from Rep. Burgess Owens’ office reports that the graduation rate for BIE students is 53 percent, lower than the average for Native American students in public schools around the country, and nearly 30 percentage points lower than the national average for all students. In 2015, Arizona lawmakers expanded the state’s education savings account program to include children living on tribal lands, and by 2021, nearly 400 Native American children were using the accounts."
DEPARTMENT OF EDUCATION,DEPARTMENT OF EDUCATION,ED,DEPARTMENT OF EDUCATION,ED,BIE,NULL,"c(""bureau of indian"", ""native"")","Finally, schools on tribal lands and under the auspices of the Bureau of Indian Education (BIE) are among the worst-performing public schools in the country. Research from Rep. Burgess Owens’ office reports that the graduation rate for BIE students is 53 percent, lower than the average for Native American students in public schools around the country, and nearly 30 percentage points lower than the national average for all students. In 2015, Arizona lawmakers expanded the state’s education savings account program to include children living on tribal lands, and by 2021, nearly 400 Native American children were using the accounts."
HEA,DEPARTMENT OF EDUCATION,ED,DEPARTMENT OF EDUCATION,ED,NULL,NULL,"c(""diversity"", ""equity"", ""inclusion"", ""civil rights"")","Unnecessarily focused on schools in a specific geographic region, institutional accreditation reviews have also become wildly expensive audits by academic “peers” that stifle innovation and discourage new institutions of higher education. Of particular concern are efforts by many accreditation agencies to leverage their Title IV (student loans and grants) gatekeeper roles to force institutions to adopt policies that have nothing to do with academic quality assurance and student outcomes. One egregious example of this is the extent to which accreditors have forced colleges and universities, many of them faith-based institutions, to adopt diversity, equity, and inclusion policies that conflict with federal civil rights laws, state laws, and the institutional mission and culture of the schools. Perhaps more distressingly, accreditors, while professing support for academic freedom and campus free speech, have presided over a precipitous decline in both over the past decade. Despite maintaining criteria that demand such policies, accreditors have done nothing to dampen the illiberal chill that has swept across American campuses over the past decade."
HEA,DEPARTMENT OF EDUCATION,ED,DEPARTMENT OF EDUCATION,ED,NULL,NULL,"c(""diversity"", ""equity"", ""inclusion"", ""civil rights"")","Unnecessarily focused on schools in a specific geographic region, institutional accreditation reviews have also become wildly expensive audits by academic “peers” that stifle innovation and discourage new institutions of higher education. Of particular concern are efforts by many accreditation agencies to leverage their Title IV (student loans and grants) gatekeeper roles to force institutions to adopt policies that have nothing to do with academic quality assurance and student outcomes. One egregious example of this is the extent to which accreditors have forced colleges and universities, many of them faith-based institutions, to adopt diversity, equity, and inclusion policies that conflict with federal civil rights laws, state laws, and the institutional mission and culture of the schools. Perhaps more distressingly, accreditors, while professing support for academic freedom and campus free speech, have presided over a precipitous decline in both over the past decade. Despite maintaining criteria that demand such policies, accreditors have done nothing to dampen the illiberal chill that has swept across American campuses over the past decade."
HEA,DEPARTMENT OF EDUCATION,ED,DEPARTMENT OF EDUCATION,ED,NULL,NULL,"c(""diversity"", ""equity"", ""inclusion"")","* Prohibit accreditation agencies from leveraging their Title IV gatekeeper role to mandate that educational institutions adopt diversity, equity, and inclusion policies."
HEA,DEPARTMENT OF EDUCATION,ED,DEPARTMENT OF EDUCATION,ED,NULL,NULL,"c(""diversity"", ""equity"", ""inclusion"")","* Prohibit accreditation agencies from leveraging their Title IV gatekeeper role to mandate that educational institutions adopt diversity, equity, and inclusion policies."
HEA,DEPARTMENT OF EDUCATION,ED,DEPARTMENT OF EDUCATION,ED,NULL,NULL,"c(""diversity"", ""equity"", ""inclusion"", ""dei"")","Cap indirect costs at universities. Currently, the federal government pays a portion of the overhead expenses associated with university-based research. Known as “indirect costs,” these reimbursements cross-subsidize leftist agendas and the research of billion-dollar organizations such as Google and the Ford Foundation. Universities also use this influx of cash to pay for Diversity, Equity, and Inclusion (DEI) efforts. To correct course,"
HEA,DEPARTMENT OF EDUCATION,ED,DEPARTMENT OF EDUCATION,ED,NULL,NULL,"c(""diversity"", ""equity"", ""inclusion"", ""dei"")","Cap indirect costs at universities. Currently, the federal government pays a portion of the overhead expenses associated with university-based research. Known as “indirect costs,” these reimbursements cross-subsidize leftist agendas and the research of billion-dollar organizations such as Google and the Ford Foundation. Universities also use this influx of cash to pay for Diversity, Equity, and Inclusion (DEI) efforts. To correct course,"
HEA,DEPARTMENT OF EDUCATION,ED,DEPARTMENT OF EDUCATION,ED,"c(""OMB"", ""DOJ"")","c(""OMB"", ""DOJ"")",civil rights,"The department must coordinate any rulemaking with the White House, the Office of Management and Budget (OMB), DOJ, and other agencies that share responsibility with the department in the administration or enforcement of statute, such as Titles VI and IX. Moreover, regarding regulations arising under civil rights laws administered by the department, Executive Order 12550 requires the Attorney General to approve final regulations; the Assistant Attorney General for Civil Rights must approve notices of proposed rulemaking."
HEA,DEPARTMENT OF EDUCATION,ED,DEPARTMENT OF EDUCATION,ED,"c(""OMB"", ""DOJ"")","c(""OMB"", ""DOJ"")",civil rights,"The department must coordinate any rulemaking with the White House, the Office of Management and Budget (OMB), DOJ, and other agencies that share responsibility with the department in the administration or enforcement of statute, such as Titles VI and IX. Moreover, regarding regulations arising under civil rights laws administered by the department, Executive Order 12550 requires the Attorney General to approve final regulations; the Assistant Attorney General for Civil Rights must approve notices of proposed rulemaking."
FERC,DEPARTMENT OF ENERGY,DOE,FERC,FERC,NULL,NULL,diversity,"* Expand resource diversity and reliability. Resource diversity is needed to support grid reliability. Pressure to use 100 percent renewables or non– carbon emitting resources threatens the electric grid’s reliability. A grid that has access to dispatchable resources such as coal, nuclear, and natural gas for generating power is inherently more reliable and resilient."
FERC,DEPARTMENT OF ENERGY,DOE,FERC,FERC,"c(""NERC"", ""DOE"")","c(""FERC"", ""DOE"")","c(""diversity"", ""discriminate"")","* Support resource diversity and reliability. FERC, NERC, and DOE play key roles in balancing consumer, industrial, and national defense interests to ensure an ongoing reliable, plentiful, and accessible national electricity supply. NERC reliability reviews and FERC’s reliability roles should be aware that overreliance on any one power generation fuel source entails concurrent cost and availability risk. FERC should reform market rules that unduly discriminate against dispatchable resources needed for reliability."
NUCLEAR REGULATORY COMMISSION,NUCLEAR REGULATORY COMMISSION,NRC,NUCLEAR REGULATORY COMMISSION,NRC,NULL,NULL,diversity,"10. U.S. Department of Energy, Office of Economic Impact and Diversity, “Justice40 Initiative,” https://www. energy.gov/diversity/justice40-initiative (accessed February 13, 2023)."
NUCLEAR REGULATORY COMMISSION,NUCLEAR REGULATORY COMMISSION,NRC,NUCLEAR REGULATORY COMMISSION,NRC,NULL,NULL,diversity,"10. U.S. Department of Energy, Office of Economic Impact and Diversity, “Justice40 Initiative,” https://www. energy.gov/diversity/justice40-initiative (accessed February 13, 2023)."
NUCLEAR REGULATORY COMMISSION,NUCLEAR REGULATORY COMMISSION,NRC,NUCLEAR REGULATORY COMMISSION,NRC,NULL,NULL,diversity,"10. U.S. Department of Energy, Office of Economic Impact and Diversity, “Justice40 Initiative,” https://www. energy.gov/diversity/justice40-initiative (accessed February 13, 2023)."
NUCLEAR REGULATORY COMMISSION,NUCLEAR REGULATORY COMMISSION,NRC,NUCLEAR REGULATORY COMMISSION,NRC,NULL,NULL,diversity,"10. U.S. Department of Energy, Office of Economic Impact and Diversity, “Justice40 Initiative,” https://www. energy.gov/diversity/justice40-initiative (accessed February 13, 2023)."
NUCLEAR REGULATORY COMMISSION,NUCLEAR REGULATORY COMMISSION,NRC,NUCLEAR REGULATORY COMMISSION,NRC,DOE,DOE,"c(""diversity"", ""equity"", ""inclusion"")","11. Press release, “DOE Releases First-Ever Plan to Advance Diversity, Equity, Inclusion and Accessibility,” U.S. Department of Energy, September 1, 2022, https://www.energy.gov/articles/doe-releases-first-ever-planadvance-diversity-equity-inclusion-and-accessibility (accessed February 14, 2023)."
NUCLEAR REGULATORY COMMISSION,NUCLEAR REGULATORY COMMISSION,NRC,NUCLEAR REGULATORY COMMISSION,NRC,DOE,DOE,"c(""diversity"", ""equity"", ""inclusion"")","11. Press release, “DOE Releases First-Ever Plan to Advance Diversity, Equity, Inclusion and Accessibility,” U.S. Department of Energy, September 1, 2022, https://www.energy.gov/articles/doe-releases-first-ever-planadvance-diversity-equity-inclusion-and-accessibility (accessed February 14, 2023)."
NUCLEAR REGULATORY COMMISSION,NUCLEAR REGULATORY COMMISSION,NRC,NUCLEAR REGULATORY COMMISSION,NRC,DOE,DOE,"c(""diversity"", ""equity"", ""inclusion"")","11. Press release, “DOE Releases First-Ever Plan to Advance Diversity, Equity, Inclusion and Accessibility,” U.S. Department of Energy, September 1, 2022, https://www.energy.gov/articles/doe-releases-first-ever-planadvance-diversity-equity-inclusion-and-accessibility (accessed February 14, 2023)."
NUCLEAR REGULATORY COMMISSION,NUCLEAR REGULATORY COMMISSION,NRC,NUCLEAR REGULATORY COMMISSION,NRC,DOE,DOE,"c(""diversity"", ""equity"", ""inclusion"")","11. Press release, “DOE Releases First-Ever Plan to Advance Diversity, Equity, Inclusion and Accessibility,” U.S. Department of Energy, September 1, 2022, https://www.energy.gov/articles/doe-releases-first-ever-planadvance-diversity-equity-inclusion-and-accessibility (accessed February 14, 2023)."
EPA,ENVIRONMENTAL PROTECTION AGENCY,EPA,ENVIRONMENTAL PROTECTION AGENCY,EPA,EPA,EPA,"c(""race"", ""citizen"")","Instead of allowing these efforts to be misused for scaremongering risk communications and enforcement activities, EPA should embrace so-called citizen science and deputize the public to subject the agency’s science to greater scrutiny, especially in areas of data analysis, identification of scientific flaws, and research misconduct. In addition, EPA should:"
EPA,ENVIRONMENTAL PROTECTION AGENCY,EPA,ENVIRONMENTAL PROTECTION AGENCY,EPA,EPA,EPA,"c(""race"", ""citizen"")","Instead of allowing these efforts to be misused for scaremongering risk communications and enforcement activities, EPA should embrace so-called citizen science and deputize the public to subject the agency’s science to greater scrutiny, especially in areas of data analysis, identification of scientific flaws, and research misconduct. In addition, EPA should:"
EPA,ENVIRONMENTAL PROTECTION AGENCY,EPA,ENVIRONMENTAL PROTECTION AGENCY,EPA,EPA,EPA,"c(""race"", ""citizen"")","Instead of allowing these efforts to be misused for scaremongering risk communications and enforcement activities, EPA should embrace so-called citizen science and deputize the public to subject the agency’s science to greater scrutiny, especially in areas of data analysis, identification of scientific flaws, and research misconduct. In addition, EPA should:"
OGC,NA,NA,NA,NA,NULL,NULL,"c(""race"", ""discrimination"")","In 2023, the Supreme Court is expected to provide guidance on the constitutionality of race-based discrimination as it considers Students for Fair Admissions v. University of North Carolina.54 Accordingly, the next Administration should pause and review all ongoing EJ and Title VI actions to ensure that they are consistent with any forthcoming SCOTUS decision."
DEPARTMENT OF HEALTH AND HUMAN SERVICES,DEPARTMENT OF HEALTH AND HUMAN SERVICES,HHS,DEPARTMENT OF HEALTH AND HUMAN SERVICES,HHS,HHS,HHS,"c(""equity"", ""race"", ""ethnicity"")","Americans than do those of any other federal agency. Under President Trump, HHS was dedicated to serving “all Americans from conception to natural death, including those individuals and families who face…economic and social well-being challenges.”1 Under President Biden, the mission has shifted to “promoting equity in everything we do” for the sake of “populations sharing a particular characteristic” including race, sexuality, gender identification, ethnicity, and a host of other categories.2"
HHS,DEPARTMENT OF HEALTH AND HUMAN SERVICES,HHS,DEPARTMENT OF HEALTH AND HUMAN SERVICES,HHS,HHS,HHS,"c(""race"", ""equity"")","Radical actors inside and outside government are promoting harmful identity politics that replaces biological sex with subjective notions of “gender identity” and bases a person’s worth on his or her race, sex, or other identities. This destructive dogma, under the guise of “equity,” threatens American’s fundamental liberties as well as the health and well-being of children and adults alike. The next Secretary must ensure that HHS programs protect children’s minds and bodies and that HHS programs respect parents’ basic right to direct the upbringing, education, and care of their children."
HHS,DEPARTMENT OF HEALTH AND HUMAN SERVICES,HHS,DEPARTMENT OF HEALTH AND HUMAN SERVICES,HHS,HHS,HHS,"c(""race"", ""equity"")","Radical actors inside and outside government are promoting harmful identity politics that replaces biological sex with subjective notions of “gender identity” and bases a person’s worth on his or her race, sex, or other identities. This destructive dogma, under the guise of “equity,” threatens American’s fundamental liberties as well as the health and well-being of children and adults alike. The next Secretary must ensure that HHS programs protect children’s minds and bodies and that HHS programs respect parents’ basic right to direct the upbringing, education, and care of their children."
HHS,DEPARTMENT OF HEALTH AND HUMAN SERVICES,HHS,DEPARTMENT OF HEALTH AND HUMAN SERVICES,HHS,HHS,HHS,"c(""race"", ""equity"")","Radical actors inside and outside government are promoting harmful identity politics that replaces biological sex with subjective notions of “gender identity” and bases a person’s worth on his or her race, sex, or other identities. This destructive dogma, under the guise of “equity,” threatens American’s fundamental liberties as well as the health and well-being of children and adults alike. The next Secretary must ensure that HHS programs protect children’s minds and bodies and that HHS programs respect parents’ basic right to direct the upbringing, education, and care of their children."
HHS,DEPARTMENT OF HEALTH AND HUMAN SERVICES,HHS,DEPARTMENT OF HEALTH AND HUMAN SERVICES,HHS,HHS,HHS,"c(""race"", ""equity"")","Radical actors inside and outside government are promoting harmful identity politics that replaces biological sex with subjective notions of “gender identity” and bases a person’s worth on his or her race, sex, or other identities. This destructive dogma, under the guise of “equity,” threatens American’s fundamental liberties as well as the health and well-being of children and adults alike. The next Secretary must ensure that HHS programs protect children’s minds and bodies and that HHS programs respect parents’ basic right to direct the upbringing, education, and care of their children."
